product_code,product_short_desc_storage,product_category,out_of_stock_date
DORANEVI5TD,NEVIRAPINE [NVP],HIV,2026-05-29
DORATEEM1T-,TDF 300 mg / FTC 200 mg,HIV,2026-05-29
DORAYILN2T-,AZT 300 mg / 3TC 150 mg / NVP 200 mg,HIV,2026-05-29
SSDTHIVU20T,TEST VIH 1 + 2 [Uni-Gold],HIV,2026-05-30
DINJARTS6V-,ARTESUNATE 60 mg,Malaria,2026-06-05
SSDTMALP25T2,TEST MALARIA HRP-2/pan pLDH,Malaria,2026-06-05
DORALPVR4T-,LPV 100mg / r 25mg,HIV,2026-06-13
DORACOTR8T-,COTRIMOXAZOLE,HIV,2026-06-19
DORASULP5T-,SULFADOXINE,Malaria,2026-06-21
DORATEEF1T-,TDF 300 mg / FTC 200 mg / EFV 600 mg,HIV,2026-06-28
DORAARLU3T1,AL 20/120 mg,Malaria,2026-07-19
SSDTHIVD10T,TEST VIH 1 + 2 [Determine],HIV,2026-07-22
DORALPVR5T-,LPV 200 mg / r 50 mg,HIV,2026-07-31
DORAEHRI1T1,E 275 mg / H 75 mg / R 150 mg,TB,2026-08-18
DORAPRON2T1,PROTHIONAMIDE,TB,2026-08-31
DORAABLA1TD,ABC 60 mg / 3TC 30 mg,HIV,2026-08-31
DORAARLU1TD1,AL 20/120 mg,Malaria,2026-08-31
DORAABLA2T3,ABC 600 mg / 3TC 300 mg,HIV,2026-09-03
DORAHZRI5TD1,H 50 mg / Z 150 mg / R 75 mg,TB,2026-09-04
DORAYILN1TD,AZT 60 mg / 3TC 30 mg / NVP 50 mg,HIV,2026-09-21
DINJAMIK5A-,AMIKACINE sulfate,TB,2026-09-27
DINFDEXT5FBF5,GLUCOSE,Malaria,2026-10-04
DORAMOXI4T-,MOXIFLOXACINE chlorhydrate,TB,2026-10-05
DORAEFAV6T-,EFAVIRENZ [EFV],HIV,2026-10-20
DORAARLU2TD1,AL 20/120 mg,Malaria,2026-10-28
DORAEFAV2TB,EFAVIRENZ [EFV],HIV,2026-11-02
DORAISON3T1,ISONIAZIDE [H],TB,2026-11-07
DORACLOF1C-,CLOFAZIMINE,TB,2026-11-08
DORAPYRZ4T1,PYRAZINAMIDE [Z],TB,2026-11-15
DORAETHA4T1,ETHAMBUTOL chlorhydrate [E],TB,2026-11-19
DORACOTR1TD,COTRIMOXAZOLE,HIV,2026-11-30
SSDTMALP25T2,TEST MALARIA Pf [HRP-2] Ag RDT,Malaria,2026-12-03
DORAARLU4T1,AL 20/120 mg,Malaria,2026-12-10
DORAYILA2T-,AZT 300 mg / 3TC 150 mg,HIV,2026-12-12
DORAEHZR2T1,E 275 mg / H 75 mg / Z 400 mg / R 150 mg,TB,2026-12-15
DORAHRIF7T1,H 75 mg / R 150 mg,TB,2026-12-16
DORANEVI2T-,NEVIRAPINE [NVP],HIV,2027-01-01
DORAHRIF5TD1,H 50 mg / R 75 mg,TB,2027-07-31
DINJSTRE1V-,STREPTOMYCINE sulfate,TB,2028-05-31
DORAHRIF5TD1,H 75 mg / R 150 mg,TB,2028-10-31
